[2026-01-10 23:21:34.214] [warning] Invalid vid_pid: "MV-CS016-10UC"
[2026-01-10 23:21:34.215] [info] HikRobot's daemon thread started.
[2026-01-10 23:21:35.425] [info] HikRobot's capture thread started.
[2026-01-10 23:21:45.834] [debug] see strange armor: big four
[2026-01-10 23:21:45.868] [debug] see strange armor: big four
[2026-01-10 23:21:45.903] [debug] see strange armor: big four
[2026-01-10 23:21:45.937] [debug] see strange armor: big four
[2026-01-10 23:21:45.970] [debug] see strange armor: big four
[2026-01-10 23:21:46.005] [debug] see strange armor: big four
[2026-01-10 23:21:46.039] [debug] see strange armor: big four
[2026-01-10 23:21:46.073] [debug] see strange armor: big four
[2026-01-10 23:21:46.112] [debug] see strange armor: big four
[2026-01-10 23:21:46.147] [debug] see strange armor: big four
[2026-01-10 23:21:46.182] [debug] see strange armor: big four
[2026-01-10 23:21:46.250] [debug] see strange armor: big four
[2026-01-10 23:21:46.285] [debug] see strange armor: big four
[2026-01-10 23:21:46.319] [debug] see strange armor: big four
[2026-01-10 23:21:46.355] [debug] see strange armor: big four
[2026-01-10 23:21:46.389] [debug] see strange armor: big four
[2026-01-10 23:21:46.424] [debug] see strange armor: big four
[2026-01-10 23:21:47.204] [debug] see strange armor: big four
[2026-01-10 23:21:48.085] [debug] see strange armor: big four
[2026-01-10 23:21:48.119] [debug] see strange armor: big four
[2026-01-10 23:21:48.155] [debug] see strange armor: big four
[2026-01-10 23:21:48.189] [debug] see strange armor: big four
[2026-01-10 23:21:48.222] [debug] see strange armor: big four
[2026-01-10 23:21:48.256] [debug] see strange armor: big four
[2026-01-10 23:21:48.290] [debug] see strange armor: big four
[2026-01-10 23:21:48.326] [debug] see strange armor: big four
[2026-01-10 23:21:48.360] [debug] see strange armor: big four
[2026-01-10 23:21:48.396] [debug] see strange armor: big four
[2026-01-10 23:21:48.431] [debug] see strange armor: big four
[2026-01-10 23:21:48.466] [debug] see strange armor: big four
[2026-01-10 23:21:48.504] [debug] see strange armor: big four
[2026-01-10 23:21:48.545] [debug] see strange armor: big four
[2026-01-10 23:21:48.750] [debug] see strange armor: big four
[2026-01-10 23:21:53.097] [debug] see strange armor: big four
[2026-01-10 23:21:53.131] [debug] see strange armor: big four
[2026-01-10 23:21:53.165] [debug] see strange armor: big four
[2026-01-10 23:21:53.199] [debug] see strange armor: big four
[2026-01-10 23:21:53.232] [debug] see strange armor: big four
[2026-01-10 23:21:53.266] [debug] see strange armor: big four
[2026-01-10 23:21:53.300] [debug] see strange armor: big four
[2026-01-10 23:21:53.334] [debug] see strange armor: big four
[2026-01-10 23:21:53.369] [debug] see strange armor: big four
[2026-01-10 23:21:53.403] [debug] see strange armor: big four
[2026-01-10 23:21:53.438] [debug] see strange armor: big four
[2026-01-10 23:21:53.471] [debug] see strange armor: big four
[2026-01-10 23:21:53.506] [debug] see strange armor: big four
[2026-01-10 23:21:53.541] [debug] see strange armor: big four
[2026-01-10 23:21:53.577] [debug] see strange armor: big four
[2026-01-10 23:21:53.611] [debug] see strange armor: big four
[2026-01-10 23:21:53.646] [debug] see strange armor: big four
[2026-01-10 23:21:53.683] [debug] see strange armor: big four
[2026-01-10 23:21:53.717] [debug] see strange armor: big four
[2026-01-10 23:21:53.751] [debug] see strange armor: big four
[2026-01-10 23:21:53.818] [debug] see strange armor: big four
[2026-01-10 23:21:53.853] [debug] see strange armor: big four
[2026-01-10 23:21:53.888] [debug] see strange armor: big four
[2026-01-10 23:21:53.923] [debug] see strange armor: big four
[2026-01-10 23:21:53.958] [debug] see strange armor: big four
[2026-01-10 23:21:53.992] [debug] see strange armor: big four
[2026-01-10 23:21:54.025] [debug] see strange armor: big four
[2026-01-10 23:21:54.059] [debug] see strange armor: big four
[2026-01-10 23:21:54.093] [debug] see strange armor: big four
[2026-01-10 23:21:54.130] [debug] see strange armor: big four
[2026-01-10 23:21:54.164] [debug] see strange armor: big four
[2026-01-10 23:21:54.198] [debug] see strange armor: big four
[2026-01-10 23:21:54.370] [debug] see strange armor: big four
[2026-01-10 23:21:55.900] [debug] see strange armor: big four
[2026-01-10 23:21:55.935] [debug] see strange armor: big four
[2026-01-10 23:21:55.970] [debug] see strange armor: big four
[2026-01-10 23:21:56.004] [debug] see strange armor: big four
[2026-01-10 23:21:56.037] [debug] see strange armor: big four
[2026-01-10 23:21:56.243] [debug] see strange armor: big four
[2026-01-10 23:21:56.619] [debug] see strange armor: big four
[2026-01-10 23:21:56.653] [debug] see strange armor: big four
[2026-01-10 23:21:56.687] [debug] see strange armor: big four
[2026-01-10 23:21:56.725] [debug] see strange armor: big four
[2026-01-10 23:22:04.150] [debug] see strange armor: big four
[2026-01-10 23:22:04.184] [debug] see strange armor: big four
[2026-01-10 23:22:04.218] [debug] see strange armor: big four
[2026-01-10 23:22:04.252] [debug] see strange armor: big four
[2026-01-10 23:22:04.286] [debug] see strange armor: big four
[2026-01-10 23:22:04.320] [debug] see strange armor: big four
[2026-01-10 23:22:04.389] [debug] see strange armor: big four
[2026-01-10 23:22:06.050] [debug] see strange armor: big four
[2026-01-10 23:22:06.085] [debug] see strange armor: big four
[2026-01-10 23:22:06.118] [debug] see strange armor: big four
[2026-01-10 23:22:06.152] [debug] see strange armor: big four
[2026-01-10 23:22:06.186] [debug] see strange armor: big four
[2026-01-10 23:22:06.220] [debug] see strange armor: big four
[2026-01-10 23:22:09.684] [debug] see strange armor: big four
[2026-01-10 23:22:09.720] [debug] see strange armor: big four
[2026-01-10 23:22:09.755] [debug] see strange armor: big four
[2026-01-10 23:22:09.792] [debug] see strange armor: big four
[2026-01-10 23:22:09.827] [debug] see strange armor: big four
[2026-01-10 23:22:09.861] [debug] see strange armor: big four
[2026-01-10 23:22:09.898] [debug] see strange armor: big four
[2026-01-10 23:22:09.933] [debug] see strange armor: big four
[2026-01-10 23:22:09.967] [debug] see strange armor: big four
[2026-01-10 23:22:10.001] [debug] see strange armor: big four
[2026-01-10 23:22:10.035] [debug] see strange armor: big four
[2026-01-10 23:22:10.070] [debug] see strange armor: big four
[2026-01-10 23:22:10.105] [debug] see strange armor: big four
[2026-01-10 23:22:10.141] [debug] see strange armor: big four
[2026-01-10 23:22:10.175] [debug] see strange armor: big four
[2026-01-10 23:22:10.211] [debug] see strange armor: big four
[2026-01-10 23:22:10.245] [debug] see strange armor: big four
[2026-01-10 23:22:10.279] [debug] see strange armor: big four
[2026-01-10 23:22:10.314] [debug] see strange armor: big four
[2026-01-10 23:22:10.350] [debug] see strange armor: big four
[2026-01-10 23:22:10.384] [debug] see strange armor: big four
[2026-01-10 23:22:10.419] [debug] see strange armor: big four
[2026-01-10 23:22:10.452] [debug] see strange armor: big four
[2026-01-10 23:22:10.519] [debug] see strange armor: big four
[2026-01-10 23:22:10.553] [debug] see strange armor: big four
[2026-01-10 23:22:12.331] [debug] see strange armor: big four
[2026-01-10 23:22:12.367] [debug] see strange armor: big four
[2026-01-10 23:22:12.401] [debug] see strange armor: big four
[2026-01-10 23:22:12.437] [debug] see strange armor: big four
[2026-01-10 23:22:12.471] [debug] see strange armor: big four
[2026-01-10 23:22:12.508] [debug] see strange armor: big four
[2026-01-10 23:22:12.543] [debug] see strange armor: big four
[2026-01-10 23:22:12.578] [debug] see strange armor: big four
[2026-01-10 23:22:13.775] [debug] see strange armor: big four
[2026-01-10 23:22:13.810] [debug] see strange armor: big four
[2026-01-10 23:22:14.015] [debug] see strange armor: big four
[2026-01-10 23:22:14.050] [debug] see strange armor: big four
[2026-01-10 23:22:14.084] [debug] see strange armor: big four
[2026-01-10 23:22:15.801] [debug] see strange armor: big four
[2026-01-10 23:22:15.836] [debug] see strange armor: big four
[2026-01-10 23:22:15.871] [debug] see strange armor: big four
[2026-01-10 23:22:15.907] [debug] see strange armor: big four
[2026-01-10 23:22:15.942] [debug] see strange armor: big four
[2026-01
