[2026-01-10 23:38:20.762] [info] HikRobot's daemon thread started.
[2026-01-10 23:38:20.990] [info] HikRobot's capture thread started.
[2026-01-10 23:38:41.757] [debug] see strange armor: big four
[2026-01-10 23:38:41.998] [debug] see strange armor: big four
[2026-01-10 23:38:42.032] [debug] see strange armor: big four
[2026-01-10 23:38:42.067] [debug] see strange armor: big four
[2026-01-10 23:38:42.879] [debug] see strange armor: big four
[2026-01-10 23:38:43.595] [debug] see strange armor: big four
[2026-01-10 23:38:43.698] [debug] see strange armor: big four
[2026-01-10 23:38:55.665] [debug] see strange armor: big four
[2026-01-10 23:38:55.699] [debug] see strange armor: big four
[2026-01-10 23:38:55.734] [debug] see strange armor: big four
[2026-01-10 23:38:55.769] [debug] see strange armor: big four
[2026-01-10 23:38:55.804] [debug] see strange armor: big four
[2026-01-10 23:38:55.905] [debug] see strange armor: big four
[2026-01-10 23:38:55.939] [debug] see strange armor: big four
[2026-01-10 23:38:55.973] [debug] see strange armor: big four
[2026-01-10 23:38:56.008] [debug] see strange armor: big four
[2026-01-10 23:38:56.042] [debug] see strange armor: big four
[2026-01-10 23:38:56.078] [debug] see strange armor: big four
[2026-01-10 23:38:56.112] [debug] see strange armor: big four
[2026-01-10 23:38:56.147] [debug] see strange armor: big four
[2026-01-10 23:38:56.183] [debug] see strange armor: big four
[2026-01-10 23:38:56.217] [debug] see strange armor: big four
[2026-01-10 23:38:56.252] [debug] see strange armor: big four
[2026-01-10 23:38:56.491] [debug] see strange armor: big four
[2026-01-10 23:38:56.525] [debug] see strange armor: big four
[2026-01-10 23:38:56.559] [debug] see strange armor: big four
[2026-01-10 23:38:56.593] [debug] see strange armor: big four
[2026-01-10 23:38:56.628] [debug] see strange armor: big four
[2026-01-10 23:38:56.664] [debug] see strange armor: big four
[2026-01-10 23:38:56.699] [debug] see strange armor: big four
[2026-01-10 23:38:56.734] [debug] see strange armor: big four
[2026-01-10 23:38:56.769] [debug] see strange armor: big four
[2026-01-10 23:38:56.804] [debug] see strange armor: big four
[2026-01-10 23:38:56.839] [debug] see strange armor: big four
[2026-01-10 23:38:56.873] [debug] see strange armor: big four
[2026-01-10 23:38:56.907] [debug] see strange armor: big four
[2026-01-10 23:38:56.941] [debug] see strange armor: big four
[2026-01-10 23:38:56.976] [debug] see strange armor: big four
[2026-01-10 23:38:57.010] [debug] see strange armor: big four
[2026-01-10 23:38:57.045] [debug] see strange armor: big four
[2026-01-10 23:38:57.080] [debug] see strange armor: big four
[2026-01-10 23:38:59.405] [debug] see strange armor: big four
[2026-01-10 23:38:59.475] [debug] see strange armor: big four
[2026-01-10 23:38:59.509] [debug] see strange armor: big four
[2026-01-10 23:38:59.545] [debug] see strange armor: big four
[2026-01-10 23:38:59.579] [debug] see strange armor: big four
[2026-01-10 23:38:59.614] [debug] see strange armor: big four
[2026-01-10 23:38:59.649] [debug] see strange armor: big four
[2026-01-10 23:38:59.685] [debug] see strange armor: big four
[2026-01-10 23:38:59.719] [debug] see strange armor: big four
[2026-01-10 23:38:59.754] [debug] see strange armor: big four
[2026-01-10 23:38:59.788] [debug] see strange armor: big four
[2026-01-10 23:38:59.824] [debug] see strange armor: big four
[2026-01-10 23:39:01.060] [debug] see strange armor: big four
[2026-01-10 23:39:01.129] [debug] see strange armor: big four
[2026-01-10 23:39:01.200] [debug] see strange armor: big four
[2026-01-10 23:39:01.235] [debug] see strange armor: big four
[2026-01-10 23:39:01.269] [debug] see strange armor: big four
[2026-01-10 23:39:01.305] [debug] see strange armor: big four
[2026-01-10 23:39:01.339] [debug] see strange armor: big four
[2026-01-10 23:39:01.406] [debug] see strange armor: big four
[2026-01-10 23:39:01.441] [debug] see strange armor: big four
[2026-01-10 23:39:01.475] [debug] see strange armor: big four
[2026-01-10 23:39:01.508] [debug] see strange armor: big four
[2026-01-10 23:39:02.301] [debug] see strange armor: big four
[2026-01-10 23:39:02.371] [debug] see strange armor: big four
[202
